Code vehicule,Code chauffeur,Date (GMT),Latitude,Longitude,Vitesse,I/O,Valide
6285,00082,2022-05-25 10:33:16,0,0,0,04,0,
6285,00082,2022-05-25 10:33:26,0,0,0,00,0,
6285,00082,2022-05-25 10:33:56,0,0,0,00,0,
6285,00082,2022-05-25 10:34:26,0,0,0,00,0,
6285,00082,2022-05-25 10:34:57,0,0,0,00,0,
6285,00082,2022-05-25 10:35:27,0,0,0,00,0,
6285,00082,2022-05-25 10:35:57,0,0,0,00,0,
6285,00082,2022-05-25 10:36:03,25.50906,-103.42699,29,00,1,
6285,00082,2022-05-25 10:36:28,25.50723,-103.42449,60,00,1,
6285,00082,2022-05-25 10:36:58,25.5041,-103.42047,67,00,1,
6285,00082,2022-05-25 10:37:28,25.50153,-103.41717,32,00,1,
6285,00082,2022-05-25 10:37:59,25.49931,-103.41434,31,00,1,
6285,00082,2022-05-25 10:38:29,25.49687,-103.41118,59,00,1,
6285,00082,2022-05-25 10:38:55,25.49381,-103.40721,69,00,1,
6285,00082,2022-05-25 10:39:26,25.49176,-103.40454,5,00,1,
6285,00083,2022-05-25 10:39:46,25.49191,-103.40433,0,04,1,
6285,00083,2022-05-25 10:40:16,25.49297,-103.40327,18,04,1,
6285,00083,2022-05-25 10:40:47,25.49469,-103.40368,46,04,1,
6285,00083,2022-05-25 10:41:17,25.4959,-103.40508,23,04,1,
6285,00083,2022-05-25 10:41:47,25.49675,-103.40593,0,04,1,
6285,00083,2022-05-25 10:42:18,25.49713,-103.4066,9,04,1,
6285,00083,2022-05-25 10:42:48,25.49591,-103.40902,42,04,1,
6285,00083,2022-05-25 10:43:19,25.49658,-103.41035,9,04,1,
6285,00083,2022-05-25 10:43:49,25.49655,-103.41034,0,04,1,
6285,00083,2022-05-25 10:44:14,25.49707,-103.41003,20,04,1,
6285,00083,2022-05-25 10:44:45,25.49905,-103.40862,56,04,1,
6285,00083,2022-05-25 10:45:15,25.50223,-103.40576,16,04,1,
6285,00083,2022-05-25 10:45:45,25.50239,-103.40567,20,04,1,
6285,00083,2022-05-25 10:46:15,25.50467,-103.40337,18,04,1,
6285,00083,2022-05-25 10:46:46,25.50575,-103.40209,0,04,1,
6285,00083,2022-05-25 10:47:16,25.50743,-103.4001,59,04,1,
6285,00083,2022-05-25 10:47:46,25.50915,-103.39822,50,04,1,
6285,00083,2022-05-25 10:48:17,25.51247,-103.39472,47,04,1,
6285,00083,2022-05-25 10:48:47,25.51392,-103.39402,34,04,1,
6285,00083,2022-05-25 10:49:17,25.51451,-103.39404,0,04,1,
6285,00083,2022-05-25 10:49:43,25.5145,-103.39406,3,04,1,
6285,00083,2022-05-25 10:50:13,25.51666,-103.39403,26,04,1,
6285,00083,2022-05-25 10:50:43,25.51794,-103.39402,24,04,1,
6285,00083,2022-05-25 10:51:14,25.52018,-103.39399,9,04,1,
6285,00083,2022-05-25 10:51:44,25.52203,-103.39398,29,04,1,
6285,00083,2022-05-25 10:52:14,25.52446,-103.39395,25,04,1,
6285,00083,2022-05-25 10:52:45,25.52545,-103.39395,12,04,1,
6285,00083,2022-05-25 10:53:15,25.52766,-103.39393,31,04,1,
6285,00083,2022-05-25 10:53:45,25.52898,-103.39393,35,04,1,
6285,00083,2022-05-25 10:54:16,25.53167,-103.39391,14,04,1,
6285,00083,2022-05-25 10:54:46,25.53285,-103.39388,20,04,1,
6285,00083,2022-05-25 10:55:14,25.53422,-103.39386,0,04,1,
6285,00083,2022-05-25 10:55:41,25.53466,-103.39389,24,04,1,
6285,00083,2022-05-25 10:56:12,25.53492,-103.39388,0,04,1,
6285,00083,2022-05-25 10:56:42,25.53492,-103.39387,0,04,1,
6285,00083,2022-05-25 10:57:12,25.53528,-103.39398,22,04,1,
6285,00083,2022-05-25 10:57:43,25.53535,-103.39574,21,04,1,
6285,00083,2022-05-25 10:58:13,25.53537,-103.39849,43,04,1,
6285,00083,2022-05-25 10:58:43,25.53537,-103.40237,51,04,1,
6285,00083,2022-05-25 10:59:14,25.53549,-103.40482,22,04,1,
6285,00083,2022-05-25 10:59:44,25.5355,-103.40492,0,04,1,
6285,00083,2022-05-25 11:00:14,25.53556,-103.40527,26,04,1,
6285,00083,2022-05-25 11:00:29,25.53559,-103.40692,45,04,1,
6285,00083,2022-05-25 11:00:55,25.53559,-103.40848,33,04,1,
6285,00083,2022-05-25 11:01:25,25.53562,-103.41187,42,04,1,
6285,00083,2022-05-25 11:01:55,25.53562,-103.41381,0,04,1,
6285,00083,2022-05-25 11:02:26,25.53563,-103.41401,16,04,1,
6285,00083,2022-05-25 11:02:56,25.53565,-103.41659,28,04,1,
6285,00083,2022-05-25 11:03:26,25.53565,-103.41768,32,04,1,
6285,00083,2022-05-25 11:03:57,25.53566,-103.41872,26,04,1,
6285,00083,2022-05-25 11:04:27,25.53569,-103.42045,20,04,1,
6285,00083,2022-05-25 11:04:57,25.53569,-103.42221,0,04,1,
6285,00083,2022-05-25 11:05:28,25.53568,-103.42221,0,04,1,
6285,00083,2022-05-25 11:05:53,25.53568,-103.42398,41,04,1,
6285,00083,2022-05-25 11:06:23,25.53573,-103.42804,52,04,1,
6285,00083,2022-05-25 11:06:54,25.53573,-103.42886,0,04,1,
6285,00083,2022-05-25 11:07:24,25.53575,-103.4296,33,04,1,
6285,00083,2022-05-25 11:07:54,25.53576,-103.43311,35,04,1,
6285,00083,2022-05-25 11:08:25,25.53576,-103.4341,0,04,1,
6285,00083,2022-05-25 11:08:55,25.53577,-103.43419,0,04,1,
6285,00083,2022-05-25 11:09:25,25.53579,-103.43484,27,04,1,
6285,00083,2022-05-25 11:09:56,25.53583,-103.43845,51,04,1,
6285,00083,2022-05-25 11:10:26,25.53583,-103.44099,19,04,1,
6285,00083,2022-05-25 11:10:56,25.53583,-103.44245,23,04,1,
6285,00083,2022-05-25 11:11:26,25.53585,-103.44514,10,04,1,
6285,00083,2022-05-25 11:11:52,25.53584,-103.44512,0,04,1,
6285,00083,2022-05-25 11:12:22,25.53587,-103.446,28,04,1,
6285,00083,2022-05-25 11:12:42,25.53586,-103.44684,28,04,1,
6285,00083,2022-05-25 11:13:08,25.53586,-103.44817,0,04,1,
6285,00083,2022-05-25 11:13:38,25.53588,-103.44812,0,04,1,
6285,00083,2022-05-25 11:14:08,25.5359,-103.44829,16,04,1,
6285,00083,2022-05-25 11:14:39,25.53586,-103.45119,41,04,1,
6285,00083,2022-05-25 11:15:09,25.53587,-103.45502,50,04,1,
6285,00083,2022-05-25 11:15:39,25.5359,-103.45673,0,04,1,
6285,00083,2022-05-25 11:16:10,25.53592,-103.45714,25,04,1,
6285,00083,2022-05-25 11:16:40,25.53593,-103.4591,18,04,1,
6285,00083,2022-05-25 11:17:10,25.5359,-103.46066,35,04,1,
