Code vehicule,Code chauffeur,Date (GMT),Latitude,Longitude,Vitesse,I/O,Valide
6163,03446,2022-05-25 10:11:54,25.48935,-103.37742,0,04,1,
6163,03446,2022-05-25 10:12:19,25.48935,-103.37741,0,04,1,
6163,03446,2022-05-25 10:12:49,25.48935,-103.37741,0,04,1,
6163,03446,2022-05-25 10:13:20,25.48935,-103.37741,0,04,1,
6163,03446,2022-05-25 10:13:46,25.48935,-103.37741,0,04,1,
6163,03446,2022-05-25 10:14:16,25.48934,-103.37745,4,04,1,
6163,03446,2022-05-25 10:14:47,25.49024,-103.37727,9,04,1,
6163,03446,2022-05-25 10:15:17,25.49094,-103.37675,18,04,1,
6163,03446,2022-05-25 10:15:47,25.4914,-103.3758,16,04,1,
6163,03446,2022-05-25 10:16:18,25.49238,-103.37505,16,04,1,
6163,03446,2022-05-25 10:16:48,25.49315,-103.37449,6,04,1,
6163,03446,2022-05-25 10:17:13,25.49358,-103.37453,8,04,1,
6163,03446,2022-05-25 10:17:44,25.49429,-103.37566,25,04,1,
6163,03446,2022-05-25 10:18:14,25.49503,-103.37701,14,04,1,
6163,03446,2022-05-25 10:18:44,25.49614,-103.3789,26,04,1,
6163,03446,2022-05-25 10:19:15,25.49659,-103.37975,13,04,1,
6163,03446,2022-05-25 10:19:45,25.49674,-103.37993,0,04,1,
6163,03446,2022-05-25 10:20:15,25.49674,-103.37992,0,04,1,
6163,03446,2022-05-25 10:20:46,25.49678,-103.37999,7,04,1,
6163,03446,2022-05-25 10:21:16,25.49798,-103.38211,36,04,1,
6163,03446,2022-05-25 10:21:46,25.49946,-103.38474,36,04,1,
6163,03446,2022-05-25 10:22:17,25.50097,-103.38743,37,04,1,
6163,03446,2022-05-25 10:22:42,25.5021,-103.38965,37,04,1,
6163,03446,2022-05-25 10:23:12,25.50328,-103.3916,11,04,1,
6163,03446,2022-05-25 10:23:43,25.50451,-103.3906,22,04,1,
6163,03446,2022-05-25 10:24:13,25.5055,-103.38969,15,04,1,
6163,03446,2022-05-25 10:24:43,25.5047,-103.38849,5,04,1,
6163,03446,2022-05-25 10:25:14,25.50389,-103.38725,7,04,1,
6163,03446,2022-05-25 10:25:44,25.50356,-103.38674,16,04,1,
6163,03446,2022-05-25 10:26:14,25.50268,-103.38534,35,04,1,
6163,03446,2022-05-25 10:26:45,25.50103,-103.3828,29,04,1,
6163,03446,2022-05-25 10:27:15,25.50171,-103.38182,38,04,1,
6163,03446,2022-05-25 10:27:40,25.50233,-103.38134,2,04,1,
6163,03446,2022-05-25 10:28:11,25.5039,-103.38053,18,04,1,
6163,03446,2022-05-25 10:28:41,25.50483,-103.38183,26,04,1,
6163,03446,2022-05-25 10:29:11,25.50588,-103.381,11,04,1,
6163,03446,2022-05-25 10:29:42,25.50742,-103.37999,3,04,1,
6163,03446,2022-05-25 10:30:12,25.50802,-103.38099,2,04,1,
6163,03446,2022-05-25 10:30:43,25.50879,-103.3822,36,04,1,
6163,03446,2022-05-25 10:31:13,25.50909,-103.38342,27,04,1,
6163,03446,2022-05-25 10:31:43,25.50674,-103.38522,28,04,1,
6163,03446,2022-05-25 10:32:14,25.50732,-103.38655,22,04,1,
6163,03446,2022-05-25 10:32:42,25.50829,-103.38808,21,04,1,
6163,03446,2022-05-25 10:33:09,25.50871,-103.38874,21,04,1,
6163,03446,2022-05-25 10:33:40,25.50971,-103.39029,23,04,1,
6163,03446,2022-05-25 10:34:10,25.51087,-103.39207,14,04,1,
6163,03446,2022-05-25 10:34:40,25.51226,-103.3943,32,04,1,
6163,03446,2022-05-25 10:35:11,25.51269,-103.39451,0,04,1,
6163,03446,2022-05-25 10:35:41,25.51373,-103.39405,22,04,1,
6163,03446,2022-05-25 10:36:11,25.51539,-103.39404,21,04,1,
6163,03446,2022-05-25 10:36:42,25.51714,-103.39402,24,04,1,
6163,03446,2022-05-25 10:37:12,25.51902,-103.394,26,04,1,
6163,03446,2022-05-25 10:37:43,25.52063,-103.39399,22,04,1,
6163,03446,2022-05-25 10:38:08,25.52201,-103.39397,18,04,1,
6163,03446,2022-05-25 10:38:38,25.52357,-103.39397,21,04,1,
6163,03446,2022-05-25 10:39:09,25.52533,-103.39396,27,04,1,
6163,03446,2022-05-25 10:39:39,25.52713,-103.39392,18,04,1,
6163,03446,2022-05-25 10:40:09,25.52925,-103.39392,30,04,1,
6163,03446,2022-05-25 10:40:40,25.53148,-103.3939,13,04,1,
6163,03446,2022-05-25 10:41:10,25.53318,-103.39383,32,04,1,
6163,03446,2022-05-25 10:41:41,25.53427,-103.39381,0,04,1,
6163,03446,2022-05-25 10:42:11,25.53525,-103.39386,18,04,1,
6163,03446,2022-05-25 10:42:41,25.53539,-103.39568,0,04,1,
6163,03446,2022-05-25 10:43:06,25.53536,-103.39719,36,04,1,
6163,03446,2022-05-25 10:43:37,25.53537,-103.40051,36,04,1,
6163,03446,2022-05-25 10:44:07,25.53537,-103.40304,0,04,1,
6163,03446,2022-05-25 10:44:37,25.53538,-103.40405,24,04,1,
6163,03446,2022-05-25 10:45:08,25.5355,-103.40491,4,04,1,
6163,03446,2022-05-25 10:45:38,25.53558,-103.40719,32,04,1,
6163,03446,2022-05-25 10:46:09,25.53558,-103.40883,33,04,1,
6163,03446,2022-05-25 10:46:39,25.5356,-103.4117,35,04,1,
6163,03446,2022-05-25 10:47:09,25.53562,-103.41397,2,04,1,
6163,03446,2022-05-25 10:47:40,25.53562,-103.41434,22,04,1,
6163,03446,2022-05-25 10:48:05,25.53563,-103.41622,32,04,1,
6163,03446,2022-05-25 10:48:35,25.53565,-103.41828,3,04,1,
