Code vehicule,Code chauffeur,Date (GMT),Latitude,Longitude,Vitesse,I/O,Valide
6153,00032,2022-05-25 09:56:32,0,0,0,00,0,
6153,00032,2022-05-25 09:56:38,25.50079,-103.41457,0,00,1,
6153,00032,2022-05-25 09:57:03,25.49947,-103.4153,0,00,1,
6153,00032,2022-05-25 09:57:33,25.49783,-103.41626,1,00,1,
6153,00032,2022-05-25 09:58:04,25.49792,-103.41641,0,00,1,
6153,00032,2022-05-25 09:58:34,25.49794,-103.41642,0,00,1,
6153,00032,2022-05-25 09:59:05,25.49763,-103.41639,1,00,1,
6153,00032,2022-05-25 09:59:35,25.49764,-103.41639,0,00,1,
6153,00032,2022-05-25 10:00:05,25.4978,-103.41639,0,00,1,
6153,00032,2022-05-25 10:00:35,25.49781,-103.41638,4,00,1,
6153,00032,2022-05-25 10:01:06,25.49777,-103.41635,0,00,1,
6153,00032,2022-05-25 10:01:32,25.49756,-103.41631,2,00,1,
6153,00032,2022-05-25 10:02:02,25.49794,-103.41652,2,00,1,
6153,00032,2022-05-25 10:02:28,25.49854,-103.41594,10,00,1,
6153,00032,2022-05-25 10:02:58,25.49929,-103.41658,9,00,1,
6153,00032,2022-05-25 10:03:28,25.50007,-103.41755,18,00,1,
6153,00032,2022-05-25 10:03:59,25.50073,-103.41841,6,00,1,
6153,00032,2022-05-25 10:04:29,25.50124,-103.41782,12,00,1,
6153,00032,2022-05-25 10:04:59,25.50168,-103.41734,5,00,1,
6153,00032,2022-05-25 10:05:30,25.50279,-103.41841,25,00,1,
6153,00032,2022-05-25 10:06:00,25.50412,-103.42007,25,00,1,
6153,00032,2022-05-25 10:06:30,25.50529,-103.42159,23,00,1,
6153,00032,2022-05-25 10:07:01,25.50651,-103.42314,20,00,1,
6153,00032,2022-05-25 10:07:30,25.50759,-103.42455,26,00,1,
6153,00032,2022-05-25 10:07:56,25.50856,-103.42596,16,00,1,
6153,00032,2022-05-25 10:08:27,25.50964,-103.42688,21,00,1,
6153,00032,2022-05-25 10:08:57,25.51045,-103.42724,6,00,1,
6153,00032,2022-05-25 10:09:27,25.51087,-103.42797,9,00,1,
6153,00032,2022-05-25 10:09:58,25.51139,-103.42876,14,00,1,
6153,00032,2022-05-25 10:10:28,25.5122,-103.43006,19,00,1,
6153,00032,2022-05-25 10:10:58,25.51313,-103.43148,17,00,1,
6153,00032,2022-05-25 10:11:29,25.51389,-103.43276,22,00,1,
6153,00032,2022-05-25 10:11:59,25.51496,-103.43356,17,00,1,
6153,00032,2022-05-25 10:12:29,25.51709,-103.4343,31,00,1,
6153,00032,2022-05-25 10:12:59,25.51858,-103.43628,29,00,1,
6153,00032,2022-05-25 10:13:25,25.5196,-103.43807,27,00,1,
6153,00032,2022-05-25 10:13:55,25.52128,-103.43832,25,00,1,
6153,00032,2022-05-25 10:14:26,25.52356,-103.43751,28,00,1,
6153,00032,2022-05-25 10:14:56,25.52598,-103.43665,31,00,1,
6153,00032,2022-05-25 10:15:26,25.52781,-103.43603,28,00,1,
6153,00032,2022-05-25 10:15:56,25.52963,-103.43541,23,00,1,
6153,00032,2022-05-25 10:16:27,25.5315,-103.43481,20,00,1,
6153,00032,2022-05-25 10:16:57,25.53351,-103.43431,26,00,1,
6153,00032,2022-05-25 10:17:27,25.53531,-103.4343,24,00,1,
6153,00032,2022-05-25 10:17:58,25.53579,-103.43552,17,00,1,
6153,00032,2022-05-25 10:18:27,25.53575,-103.43784,33,00,1,
6153,00032,2022-05-25 10:18:53,25.5358,-103.44042,35,00,1,
6153,00032,2022-05-25 10:19:23,25.53582,-103.44344,36,00,1,
6153,00032,2022-05-25 10:19:54,25.53582,-103.44543,2,00,1,
6153,00032,2022-05-25 10:20:24,25.53581,-103.44675,24,00,1,
6153,00032,2022-05-25 10:20:55,25.5359,-103.44853,0,00,1,
6153,00032,2022-05-25 10:21:25,25.53603,-103.44853,0,00,1,
6153,00032,2022-05-25 10:21:55,25.53603,-103.4485,0,00,1,
6153,00032,2022-05-25 10:22:26,25.53583,-103.44922,0,00,1,
6153,00032,2022-05-25 10:22:56,25.53573,-103.44933,0,00,1,
